tweet_id,name,jpg_url,breed_prediction,prediction_confidence,rating/10,dog_stage
879492040517615616,Bailey,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,german_short-haired_pointer,0.479896,12.0,
879415818425184262,Duddles,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,english_springer,0.383404,13.0,
879008229531029506,Beau,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,vizsla,0.960513,13.0,
878776093423087618,Snoopy,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,italian_greyhound,0.734684,13.0,puppo
878281511006478336,Shadow,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,basset,0.32042,13.0,
878057613040115712,Emmy,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,french_bulldog,0.839097,14.0,
877736472329191424,Aja,https://pbs.twimg.com/media/DC5YqoQW0AArOLH.jpg,chesapeake_bay_retriever,0.8379559999999999,13.0,
877556246731214848,Penny,https://pbs.twimg.com/media/DC20wEcW0AAf59m.jpg,basset,0.995368,12.0,
877316821321428993,Dante,https://pbs.twimg.com/media/DCza_vtXkAQXGpC.jpg,saluki,0.5099670000000001,13.0,
877201837425926144,Nelly,https://pbs.twimg.com/media/DCxyahJWsAAddSC.jpg,pembroke,0.93112,12.0,
876838120628539392,Ginger,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,bloodhound,0.575751,12.0,pupper
876484053909872640,Benedict,https://pbs.twimg.com/media/DCnll_dUQAAkBdG.jpg,golden_retriever,0.874566,13.0,
876120275196170240,Venti,https://pbs.twimg.com/media/DCiavj_UwAAcXep.jpg,bernese_mountain_dog,0.534327,13.0,
875747767867523072,Goose,https://pbs.twimg.com/media/DCdH8YpUQAAiEbL.jpg,labrador_retriever,0.799551,13.0,
875144289856114688,Nugget,https://pbs.twimg.com/ext_tw_video_thumb/875144175078957056/pu/img/BRi_l7vUdpb93Knf.jpg,siberian_husky,0.245048,13.0,
875021211251597312,None,https://pbs.twimg.com/media/DCSzF3NVoAAPzT4.jpg,west_highland_white_terrier,0.7143189999999999,12.0,
874680097055178752,Cash,https://pbs.twimg.com/media/DCN85nGUwAAzG_q.jpg,labrador_retriever,0.836052,12.0,
874296783580663808,Jed,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,cocker_spaniel,0.437216,13.0,pupper
874057562936811520,None,https://pbs.twimg.com/media/DCFGtdoXkAEsqIw.jpg,flat-coated_retriever,0.8321770000000001,12.0,
874012996292530176,Sebastian,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,cardigan,0.806674,13.0,puppo
873580283840344065,None,https://pbs.twimg.com/media/DB-UotKXkAEHXVi.jpg,newfoundland,0.678537,13.0,
873213775632977920,Sierra,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,vizsla,0.6197819999999999,12.0,pupper
872967104147763200,None,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,labrador_retriever,0.476913,12.0,doggo
872820683541237760,None,https://pbs.twimg.com/media/DBzhx0PWAAEhl0E.jpg,pug,0.99912,13.0,
872620804844003328,Monkey,https://pbs.twimg.com/media/DBwr_hzXkAEnZBW.jpg,cocker_spaniel,0.513191,13.0,
872486979161796608,None,https://pbs.twimg.com/media/DBuyRlTUwAAYhG9.jpg,pembroke,0.931861,12.0,
872261713294495745,Harry,https://pbs.twimg.com/media/DBrlZk2UQAAfAkd.jpg,labrador_retriever,0.972019,13.0,
